region,search
Utah,100
California,92
Arizona,91
Texas,90
Illinois,89
District of Columbia,87
Massachusetts,86
Oklahoma,86
Florida,82
Connecticut,82
Missouri,81
Ohio,80
Nevada,80
Rhode Island,80
New Jersey,79
Kentucky,79
Colorado,79
Minnesota,79
Idaho,79
Tennessee,78
Georgia,78
Michigan,78
Kansas,77
Nebraska,77
Washington,77
Pennsylvania,77
Indiana,76
Louisiana,76
Arkansas,75
Oregon,75
Virginia,75
Maryland,75
North Carolina,75
Alabama,72
Wisconsin,70
Iowa,70
New Mexico,70
South Carolina,70
Vermont,69
Delaware,69
New Hampshire,67
New York,66
Mississippi,66
South Dakota,65
West Virginia,65
Maine,63
Hawaii,61
North Dakota,59
Montana,59
Wyoming,55
Alaska,55
