region,search
District of Columbia,100
California,90
Utah,90
New Mexico,86
Massachusetts,82
New Jersey,78
Colorado,78
Illinois,78
Washington,77
Arizona,77
Connecticut,74
Virginia,73
Texas,72
Minnesota,71
Indiana,71
Rhode Island,70
Michigan,68
Nebraska,68
Nevada,67
New Hampshire,67
Oregon,67
Pennsylvania,66
Maryland,66
Missouri,66
Kansas,65
Vermont,65
Idaho,65
Tennessee,64
Florida,64
North Carolina,63
Delaware,63
New York,63
Iowa,62
Ohio,62
Oklahoma,62
Georgia,60
Arkansas,57
Maine,57
Kentucky,57
Hawaii,55
Wisconsin,55
Montana,54
South Dakota,54
South Carolina,53
Louisiana,53
North Dakota,51
Alabama,51
Wyoming,50
Alaska,50
West Virginia,47
Mississippi,42
